patient,mutSig1,mutSig2,mutSig3,mutSig4,mutSig5,mutSig6,mutSig7,mutSig8,mutSig9,mutSig10,mutSig11,mutSig12,mutSig13,mutSig14,mutSig15,mutSig16,mutSig17,mutSig18,mutSig19,mutSig20,mutSig21,pred_dicho
TCGA-2J-AAB1,0.2,0.0,0.0,0.04,0.03,0.45,0.04,0.02,0.0,0.0,0.06,0.02,0.0,0.0,0.05,0.02,0.0,0.0,0.05,0.0,0.02,low
TCGA-2J-AAB4,0.06,0.0,0.02,0.0,0.02,0.41,0.0,0.06,0.05,0.0,0.13,0.08,0.07,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03,low
TCGA-2J-AAB6,0.0,0.0,0.05,0.04,0.04,0.36,0.06,0.01,0.01,0.0,0.11,0.02,0.08,0.0,0.02,0.0,0.0,0.06,0.06,0.02,0.06,high
TCGA-2J-AAB8,0.02,0.0,0.03,0.04,0.05,0.33,0.02,0.07,0.03,0.03,0.19,0.02,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.02,0.02,high
TCGA-2J-AAB9,0.0,0.0,0.02,0.0,0.01,0.5,0.0,0.0,0.01,0.0,0.2,0.01,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.02,high
TCGA-2J-AABA,0.0,0.0,0.03,0.0,0.0,0.35,0.02,0.03,0.06,0.02,0.15,0.08,0.03,0.02,0.07,0.0,0.0,0.04,0.0,0.05,0.05,low
TCGA-2J-AABE,0.0,0.0,0.07,0.01,0.0,0.26,0.0,0.11,0.0,0.07,0.17,0.0,0.11,0.0,0.1,0.0,0.0,0.08,0.0,0.0,0.01,high
TCGA-2J-AABF,0.11,0.0,0.0,0.06,0.07,0.4,0.0,0.0,0.06,0.0,0.12,0.05,0.0,0.01,0.04,0.0,0.0,0.0,0.04,0.01,0.04,high
TCGA-2J-AABH,0.03,0.0,0.0,0.01,0.08,0.32,0.0,0.01,0.11,0.04,0.05,0.11,0.0,0.02,0.07,0.0,0.0,0.09,0.0,0.05,0.03,high
TCGA-2J-AABK,0.12,0.0,0.03,0.08,0.06,0.33,0.0,0.0,0.01,0.04,0.04,0.04,0.0,0.0,0.07,0.01,0.05,0.07,0.03,0.0,0.03,high
TCGA-2J-AABO,0.0,0.0,0.06,0.0,0.04,0.46,0.03,0.03,0.01,0.0,0.17,0.03,0.0,0.09,0.0,0.0,0.0,0.01,0.05,0.02,0.01,high
TCGA-2J-AABR,0.0,0.0,0.06,0.0,0.09,0.35,0.02,0.01,0.0,0.05,0.13,0.01,0.12,0.07,0.0,0.0,0.03,0.0,0.05,0.0,0.02,high
TCGA-2J-AABU,0.01,0.0,0.0,0.0,0.0,0.24,0.17,0.04,0.03,0.2,0.1,0.01,0.0,0.03,0.02,0.03,0.01,0.08,0.04,0.0,0.01,low
TCGA-2J-AABV,0.0,0.0,0.06,0.02,0.02,0.47,0.0,0.0,0.04,0.04,0.12,0.02,0.07,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.06,high
TCGA-2L-AAQA,0.0,0.0,0.0,0.01,0.01,0.44,0.03,0.04,0.02,0.0,0.11,0.01,0.1,0.05,0.0,0.0,0.02,0.06,0.08,0.0,0.04,high
TCGA-2L-AAQE,0.13,0.0,0.02,0.01,0.0,0.37,0.0,0.0,0.02,0.0,0.16,0.06,0.0,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.01,high
